Date : 2024-01-14 12:24:51
Directory : c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System
Total : 423 files,  17805 codes, 6785 comments, 3337 blanks, all 27927 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\api\system\role.js                                                                     | JavaScript      |         48 |          1 |          9 |         58 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\api\system\timing.js                                                                   | JavaScript      |         35 |          0 |          7 |         42 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\api\system\tree.js                                                                     | JavaScript      |         34 |          1 |          6 |         41 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\api\system\user.js                                                                     | JavaScript      |         53 |          0 |          9 |         62 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\index.js                                                                  | JavaScript      |          6 |          2 |          3 |         11 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\Steve-Jobs.svg                                                        | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\alipay.svg                                                            | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\anq.svg                                                               | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\app.svg                                                               | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\backup.svg                                                            | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\chain.svg                                                             | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\chart.svg                                                             | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\codeConsole.svg                                                       | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\dashboard.svg                                                         | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\database.svg                                                          | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\date.svg                                                              | XML             |          1 |          0 |          0 |          1 |
